5,0.9,0.665,0.739,0.766,0.8790,0.666,0.83,0.8320
6,0.9,0.679,0.779,0.823,0.8710,0.677,0.834,0.8330
7,0.9,0.765,0.804,0.88,0.9090,0.765,0.889,0.8930
8,0.9,0.731,0.785,0.853,0.9010,0.737,0.876,0.8780
9,0.9,0.791,0.794,0.861,0.9130,0.786,0.897,0.9000
10,0.9,0.785,0.814,0.874,0.9160,0.785,0.901,0.8950
11,0.9,0.833,0.827,0.889,0.9180,0.831,0.908,0.9080
12,0.9,0.817,0.834,0.887,0.9160,0.821,0.898,0.8970
13,0.9,0.832,0.837,0.897,0.9150,0.832,0.898,0.9040
14,0.9,0.836,0.836,0.878,0.9140,0.837,0.898,0.8950
15,0.9,0.836,0.841,0.878,0.9180,0.838,0.896,0.8990
16,0.9,0.845,0.854,0.901,0.9140,0.848,0.899,0.9000
17,0.9,0.831,0.847,0.885,0.9070,0.838,0.897,0.8930
18,0.9,0.866,0.867,0.907,0.9160,0.869,0.907,0.9080
19,0.9,0.817,0.831,0.875,0.8950,0.827,0.887,0.8850
20,0.9,0.818,0.838,0.872,0.8970,0.827,0.892,0.8900
21,0.9,0.83,0.844,0.876,0.9120,0.842,0.9,0.8970
22,0.9,0.836,0.858,0.883,0.9110,0.856,0.897,0.9010
23,0.9,0.768,0.84,0.833,0.8810,0.775,0.866,0.8650
24,0.9,0.763,0.812,0.825,0.8640,0.771,0.862,0.8620
25,0.9,0.796,0.852,0.849,0.8880,0.804,0.876,0.8800
26,0.9,0.803,0.845,0.865,0.8880,0.803,0.883,0.8840
27,0.9,0.793,0.829,0.84,0.8730,0.797,0.868,0.8680
28,0.9,0.82,0.839,0.855,0.8970,0.827,0.894,0.8920
29,0.9,0.812,0.839,0.853,0.8860,0.821,0.88,0.8780
30,0.9,0.814,0.85,0.867,0.9070,0.82,0.894,0.8930
31,0.9,0.821,0.855,0.87,0.9080,0.83,0.903,0.8960
32,0.9,0.803,0.843,0.855,0.8810,0.809,0.878,0.8810
33,0.9,0.805,0.852,0.852,0.8950,0.813,0.888,0.8900
34,0.9,0.812,0.845,0.839,0.8840,0.814,0.877,0.8780
35,0.9,0.826,0.864,0.861,0.8980,0.83,0.89,0.8870
36,0.9,0.813,0.835,0.852,0.8850,0.819,0.879,0.8770
37,0.9,0.824,0.854,0.865,0.8970,0.835,0.892,0.8910
38,0.9,0.837,0.861,0.869,0.9020,0.844,0.896,0.8920
39,0.9,0.829,0.85,0.856,0.8960,0.834,0.884,0.8840
40,0.9,0.845,0.879,0.879,0.9160,0.854,0.898,0.8970
41,0.9,0.837,0.861,0.873,0.8980,0.844,0.897,0.8960
42,0.9,0.839,0.858,0.866,0.9040,0.848,0.898,0.8960
43,0.9,0.829,0.856,0.853,0.9000,0.834,0.888,0.8900
44,0.9,0.826,0.841,0.857,0.8930,0.831,0.886,0.8870
45,0.9,0.831,0.839,0.854,0.8950,0.827,0.88,0.8840
46,0.9,0.828,0.851,0.87,0.8920,0.837,0.883,0.8800
47,0.9,0.84,0.86,0.872,0.9020,0.85,0.891,0.8900
48,0.9,0.836,0.858,0.865,0.9010,0.845,0.889,0.8880
49,0.9,0.828,0.851,0.847,0.8850,0.836,0.877,0.8750
50,0.9,0.869,0.882,0.889,0.9120,0.873,0.912,0.9100
51,0.9,0.838,0.855,0.864,0.8980,0.844,0.893,0.8960
52,0.9,0.839,0.848,0.858,0.9000,0.844,0.882,0.8870
53,0.9,0.836,0.859,0.867,0.9020,0.841,0.886,0.8920
54,0.9,0.835,0.844,0.855,0.8990,0.842,0.887,0.8850
55,0.9,0.819,0.842,0.859,0.8850,0.824,0.879,0.8740
56,0.9,0.844,0.864,0.878,0.9100,0.858,0.906,0.9050
57,0.9,0.858,0.865,0.886,0.9040,0.867,0.901,0.9000
58,0.9,0.853,0.862,0.867,0.9050,0.859,0.897,0.8950
59,0.9,0.833,0.84,0.851,0.8900,0.836,0.879,0.8740
60,0.9,0.832,0.85,0.854,0.8920,0.839,0.887,0.8770
